Net size;Epsilon;Max;Average;Iterations;Time
50;0.1;24.196943;9.406749;909.0;0.008404499999999999
50;0.01;2.418075;0.94004;1469.0;0.013158
50;0.001;0.242578;0.094303;2028.0;0.0180785
100;0.1;98.645808;39.129181;2285.0;0.047226000000000004
100;0.01;9.915829;3.937575;4566.0;0.1021125
100;0.001;0.991814;0.393849;6852.0;0.147221
200;0.1;346.344289;134.69887;4262.0;0.24413400000000002
200;0.01;40.101595;16.088222;12779.0;0.771578
200;0.001;4.011018;1.609269;22017.0;1.374526
500;0.1;943.239559;335.139297;6810.0;1.705385
500;0.01;236.110722;94.066595;35723.0;8.8596795
500;0.001;25.225427;10.182324;91802.0;23.323481
1000;0.1;1495.902035;480.003301;8527.0;7.442786999999999
1000;0.01;629.86212;235.959289;54281.0;47.0080545
1000;0.001;100.409029;40.559177;228056.0;198.59051599999998
